Week,mayo,sandalet
2015-11-22,6,2
2015-11-29,5,1
2015-12-06,8,1
2015-12-13,5,2
2015-12-20,5,1
2015-12-27,7,1
2016-01-03,7,2
2016-01-10,6,3
2016-01-17,5,2
2016-01-24,8,3
2016-01-31,8,3
2016-02-07,7,3
2016-02-14,10,4
2016-02-21,11,5
2016-02-28,9,5
2016-03-06,14,6
2016-03-13,11,6
2016-03-20,12,7
2016-03-27,12,8
2016-04-03,15,10
2016-04-10,13,14
2016-04-17,16,17
2016-04-24,17,18
2016-05-01,19,15
2016-05-08,18,19
2016-05-15,19,18
2016-05-22,21,18
2016-05-29,25,26
2016-06-05,29,28
2016-06-12,39,36
2016-06-19,66,53
2016-06-26,64,48
2016-07-03,70,33
2016-07-10,62,27
2016-07-17,40,28
2016-07-24,44,28
2016-07-31,46,28
2016-08-07,45,21
2016-08-14,34,18
2016-08-21,26,17
2016-08-28,24,14
2016-09-04,19,13
2016-09-11,15,10
2016-09-18,9,6
2016-09-25,6,5
2016-10-02,9,3
2016-10-09,8,2
2016-10-16,8,2
2016-10-23,6,3
2016-10-30,6,2
2016-11-06,5,1
2016-11-13,6,2
2016-11-20,7,2
2016-11-27,7,2
2016-12-04,5,3
2016-12-11,6,2
2016-12-18,5,2
2016-12-25,7,2
2017-01-01,6,2
2017-01-08,7,2
2017-01-15,10,3
2017-01-22,10,3
2017-01-29,8,4
2017-02-05,9,4
2017-02-12,10,4
2017-02-19,12,7
2017-02-26,14,7
2017-03-05,11,7
2017-03-12,12,8
2017-03-19,13,9
2017-03-26,13,10
2017-04-02,16,13
2017-04-09,16,12
2017-04-16,16,15
2017-04-23,17,16
2017-04-30,22,23
2017-05-07,23,24
2017-05-14,24,29
2017-05-21,22,25
2017-05-28,27,24
2017-06-04,35,40
2017-06-11,51,47
2017-06-18,56,44
2017-06-25,93,49
2017-07-02,97,50
2017-07-09,84,40
2017-07-16,81,35
2017-07-23,72,31
2017-07-30,62,30
2017-08-06,53,29
2017-08-13,44,22
2017-08-20,37,18
2017-08-27,27,14
2017-09-03,20,10
2017-09-10,14,10
2017-09-17,14,12
2017-09-24,10,6
2017-10-01,9,3
2017-10-08,10,3
2017-10-15,9,3
2017-10-22,6,3
2017-10-29,7,2
2017-11-05,8,2
2017-11-12,9,2
2017-11-19,6,2
2017-11-26,8,1
2017-12-03,6,1
2017-12-10,7,3
2017-12-17,7,2
2017-12-24,7,2
2017-12-31,9,3
2018-01-07,9,3
2018-01-14,8,4
2018-01-21,9,3
2018-01-28,10,3
2018-02-04,14,4
2018-02-11,11,7
2018-02-18,12,8
2018-02-25,13,6
2018-03-04,14,8
2018-03-11,15,8
2018-03-18,14,10
2018-03-25,18,10
2018-04-01,15,12
2018-04-08,18,17
2018-04-15,21,25
2018-04-22,22,28
2018-04-29,28,32
2018-05-06,20,28
2018-05-13,24,29
2018-05-20,35,36
2018-05-27,41,39
2018-06-03,62,58
2018-06-10,73,61
2018-06-17,83,54
2018-06-24,75,40
2018-07-01,100,48
2018-07-08,100,54
2018-07-15,93,44
2018-07-22,77,40
2018-07-29,62,37
2018-08-05,60,33
2018-08-12,45,26
2018-08-19,40,20
2018-08-26,31,17
2018-09-02,22,16
2018-09-09,16,9
2018-09-16,11,9
2018-09-23,10,5
2018-09-30,10,5
2018-10-07,8,4
2018-10-14,7,3
2018-10-21,6,3
2018-10-28,7,3
2018-11-04,5,2
2018-11-11,7,2
2018-11-18,6,3
2018-11-25,7,1
2018-12-02,8,3
2018-12-09,8,3
2018-12-16,7,2
2018-12-23,7,2
2018-12-30,7,3
2019-01-06,10,3
2019-01-13,9,3
2019-01-20,9,6
2019-01-27,10,6
2019-02-03,10,6
2019-02-10,14,6
2019-02-17,14,8
2019-02-24,13,7
2019-03-03,15,8
2019-03-10,17,12
2019-03-17,19,15
2019-03-24,14,14
2019-03-31,15,12
2019-04-07,16,12
2019-04-14,17,17
2019-04-21,21,18
2019-04-28,24,26
2019-05-05,22,24
2019-05-12,29,37
2019-05-19,38,57
2019-05-26,52,73
2019-06-02,81,70
2019-06-09,85,64
2019-06-16,83,66
2019-06-23,94,66
2019-06-30,93,64
2019-07-07,91,59
2019-07-14,61,37
2019-07-21,73,35
2019-07-28,65,39
2019-08-04,53,38
2019-08-11,47,24
2019-08-18,41,20
2019-08-25,33,21
2019-09-01,21,17
2019-09-08,15,15
2019-09-15,13,9
2019-09-22,11,9
2019-09-29,11,6
2019-10-06,10,4
2019-10-13,11,4
2019-10-20,10,4
2019-10-27,10,4
2019-11-03,7,3
2019-11-10,9,5
2019-11-17,7,4
2019-11-24,10,3
2019-12-01,6,3
2019-12-08,8,2
2019-12-15,9,3
